,weight,CONS_Total,vatax,table_row
11424,4800.8665280564455,228588.8876403663,9147.412683450028,3
6438,4547.623343457116,228637.95165838176,12463.77552503494,3
1225,2307.802957351234,228704.04811457885,10524.308470913937,3
10938,1079.7404360090336,228848.92781628013,15435.27774542291,3
13913,517.7008952786388,229865.8158063327,9634.396116294223,3
11656,4800.8665280564455,230008.02480525497,9563.378437673995,3
11910,1079.7404360090336,230383.6047441247,13043.346045615179,3
11095,4800.8665280564455,230832.27954538,9079.035355392502,3
12440,4800.8665280564455,231097.51019055746,11854.249069562204,3
5549,1324.229128667104,231465.87693839392,15696.21852705062,3
13555,517.7007819861022,231618.44579641576,3862.9467784852086,3
6045,4547.623343457116,231696.08333490195,8541.111473002202,3
11043,1079.74056188963,231860.4939739954,10432.70742413498,3
11047,1079.74056188963,232159.60692841822,11950.065018335326,3
1326,2307.802957351234,232245.51012704056,7061.629002511967,3
11898,1079.7404360090336,232260.93525863462,9574.937621051555,3
7397,3272.1324122540395,232318.56382233097,17001.18815016487,3
1581,2307.802957351234,232374.68531236728,6704.3775493741105,3
12069,4800.865898653466,232398.68393901078,12175.30924057715,3
13030,517.700819750281,232492.0652299747,17328.32793149912,3
11852,4800.865898653466,233006.7648924789,6860.068460736414,3
6654,1324.229128667104,233040.09699454723,11607.816089710956,3
10464,5442.816405570072,233088.3938726925,15152.184445399394,3
9486,5442.816405570072,233663.02694583213,13800.929772462634,3
5731,4547.623343457116,233847.44711029515,11081.272959029619,3
12494,4800.8665280564455,233882.79888903064,13950.412782979376,3
12572,4800.865898653466,234915.0825955155,11109.233765608322,3
9351,5442.816405570072,235719.52826637952,19508.028598282184,3
9270,5442.816405570072,235830.0329211093,5365.595726367573,3
11682,1079.7404360090336,236091.4547150415,8431.092232021318,3
11333,1079.7404360090336,236130.13030607023,8723.488434781877,3
11840,1079.74056188963,236238.46778171737,19183.7036761499,3
7116,4547.623343457116,236377.4407357081,15068.348801489274,3
5954,1324.229128667104,236897.7176563607,15900.975103696306,3
275,2307.802957351234,238242.9187065402,12141.51008886418,3
13408,2305.327641308141,238655.62957543065,6741.476530149298,3
7886,3272.132160492847,239404.22635402373,11390.208113051372,3
10204,5442.816405570072,239503.69500546006,9876.953893814602,3
294,598.8518860416053,239516.6894885621,18632.889123332512,3
12107,1079.7404360090336,239673.25869095168,14118.651281776898,3
10913,4800.865898653466,239793.76551792264,9438.0593562584,3
10983,4800.8665280564455,240004.54820497846,6389.055391281768,3
11601,4800.865898653466,240188.1248117105,17242.85748854133,3
13552,517.7007819861022,240210.69869888443,3473.1595369224815,3
1621,2307.802957351234,240343.10281637593,10680.586281864278,3
11347,1079.7404360090336,240827.1147362244,17834.225367413375,3
8515,3272.1324122540395,240847.96533299464,13702.99941770467,3
2063,6939.215698514807,242287.0452707102,7250.867337749297,3
10827,4800.8665280564455,242576.6468362619,9532.50612324175,3
9949,5442.816405570072,242805.71129334578,8876.407189749083,3
7513,814.1182794629115,242969.28785129252,19704.79927335341,3
4899,7785.998859758548,243092.53497490662,16769.813234608195,4
10616,5442.816405570072,243203.56442060688,8508.51368452037,4
11711,4800.8665280564455,244727.07628075872,13977.319292141057,4
12378,4800.8665280564455,245025.95655159987,14485.442242701754,4
9159,5442.816405570072,245281.86553451902,18796.01312961148,4
11961,4800.865898653466,245355.53310976247,14693.5581229924,4
1222,2307.802957351234,245452.68392147828,10552.21331793234,4
9664,1640.3389712028288,245652.14386747297,14601.803113613689,4
7252,814.1182794629115,246693.1093440303,15428.877727549956,4
11512,1079.7404360090336,246804.24977423644,16220.396787939655,4
5542,1324.229128667104,247117.97883733845,17517.953273229057,4
11359,4800.865898653466,247202.3642230585,13846.904153906074,4
1728,2307.8033349930224,247273.5313914633,12713.264320466136,4
7237,814.1182794629115,247690.23009896968,13186.73189742936,4
589,602.4972370499821,248031.4086652195,15340.746387363415,4
10828,4800.8665280564455,248806.98242030194,12024.74531505186,4
11039,1079.74056188963,249111.7943326031,16787.188039832232,4
11788,4800.865898653466,249442.713316857,12618.510678340186,4
1670,598.8518860416053,249555.4288495037,9819.000110065963,4
13055,2305.327641308141,249941.25402546366,8892.730014601442,4
9655,1640.3389712028288,250218.78826249292,20715.14113286729,4
9404,5442.816405570072,250257.58735480724,12758.987932982487,4
1818,6939.214439708846,250352.4631903153,13003.079865419353,4
2003,6939.214439708846,250419.1631982342,12017.400446905294,4
8525,3272.1324122540395,250446.85218017543,11215.963406655217,4
7164,4547.623343457116,250650.62393192676,9320.65080067168,4
13125,2305.327641308141,251025.49150106162,3683.0660807994614,4
11698,1079.7404360090336,251348.27732511354,9816.61138041606,4
12370,4800.8665280564455,251644.25979042542,16094.647904151156,4
10337,5442.816405570072,251821.55573032482,10310.662701878771,4
11302,4800.865898653466,252019.5687424161,15485.659925023228,4
384,602.4972370499821,252212.48204634554,18434.019012318662,4
12757,517.700819750281,252703.77729924893,17257.971145261814,4
820,598.8518860416053,252706.73777138547,14539.342248887202,4
8801,814.1182794629115,252711.28405059743,10010.809634678733,4
5296,7785.999363280933,252733.750545349,5225.994813086016,4
